pygame 2.0.2 (SDL 2.0.16, Python 3.9.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 1,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /lustre/home/acct-stu/stu110/Olympics/rl_trainer/models/olympics-running/ppo/run1
Episode:  83 controlled agent:  1 ; Episode Return:  -183.0 ; win rate(controlled & opponent):  0.43 0.47 ; Trained episode: 35
Episode:  84 controlled agent:  1 ; Episode Return:  -90.0 ; win rate(controlled & opponent):  0.43 0.48 ; Trained episode: 36
Episode:  85 controlled agent:  1 ; Episode Return:  -184.0 ; win rate(controlled & opponent):  0.44 0.47 ; Trained episode: 36
Episode:  86 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.43 0.47 ; Trained episode: 37
Episode:  87 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.43 0.46 ; Trained episode: 37
Episode:  88 controlled agent:  1 ; Episode Return:  -22.0 ; win rate(controlled & opponent):  0.43 0.45 ; Trained episode: 37
Episode:  89 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.43 0.45 ; Trained episode: 38
Episode:  90 controlled agent:  1 ; Episode Return:  -83.0 ; win rate(controlled & opponent):  0.42 0.46 ; Trained episode: 38
Episode:  91 controlled agent:  1 ; Episode Return:  -93.0 ; win rate(controlled & opponent):  0.42 0.46 ; Trained episode: 38
Episode:  92 controlled agent:  1 ; Episode Return:  -189.0 ; win rate(controlled & opponent):  0.41 0.47 ; Trained episode: 38
Episode:  93 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.41 0.46 ; Trained episode: 38
Episode:  94 controlled agent:  1 ; Episode Return:  -87.0 ; win rate(controlled & opponent):  0.40 0.47 ; Trained episode: 38
Episode:  95 controlled agent:  1 ; Episode Return:  -67.0 ; win rate(controlled & opponent):  0.40 0.47 ; Trained episode: 38
Episode:  96 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.40 0.47 ; Trained episode: 38
Episode:  97 controlled agent:  1 ; Episode Return:  -214.0 ; win rate(controlled & opponent):  0.39 0.47 ; Trained episode: 38
Episode:  98 controlled agent:  1 ; Episode Return:  -208.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 38
Episode:  99 controlled agent:  1 ; Episode Return:  -319.0 ; win rate(controlled & opponent):  0.38 0.48 ; Trained episode: 38
Episode:  100 controlled agent:  1 ; Episode Return:  -158.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 38
Episode:  101 controlled agent:  1 ; Episode Return:  -114.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 39
Episode:  102 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 39
Episode:  103 controlled agent:  1 ; Episode Return:  -195.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 39
Episode:  104 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 40
Episode:  105 controlled agent:  1 ; Episode Return:  -203.0 ; win rate(controlled & opponent):  0.38 0.49 ; Trained episode: 40
Episode:  106 controlled agent:  1 ; Episode Return:  -22.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 40
Episode:  107 controlled agent:  1 ; Episode Return:  -75.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 41
Episode:  108 controlled agent:  1 ; Episode Return:  -228.0 ; win rate(controlled & opponent):  0.39 0.48 ; Trained episode: 42
Episode:  109 controlled agent:  1 ; Episode Return:  -130.0 ; win rate(controlled & opponent):  0.38 0.49 ; Trained episode: 42
Episode:  110 controlled agent:  1 ; Episode Return:  -118.0 ; win rate(controlled & opponent):  0.37 0.50 ; Trained episode: 42
Episode:  111 controlled agent:  1 ; Episode Return:  28.0 ; win rate(controlled & opponent):  0.37 0.50 ; Trained episode: 42
Episode:  112 controlled agent:  1 ; Episode Return:  -292.0 ; win rate(controlled & opponent):  0.36 0.51 ; Trained episode: 43
Episode:  113 controlled agent:  1 ; Episode Return:  -124.0 ; win rate(controlled & opponent):  0.36 0.52 ; Trained episode: 43
Episode:  114 controlled agent:  1 ; Episode Return:  -108.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 43
Episode:  115 controlled agent:  1 ; Episode Return:  -229.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 43
Episode:  116 controlled agent:  1 ; Episode Return:  -187.0 ; win rate(controlled & opponent):  0.34 0.54 ; Trained episode: 43
Episode:  117 controlled agent:  1 ; Episode Return:  -50.0 ; win rate(controlled & opponent):  0.34 0.54 ; Trained episode: 43
Episode:  118 controlled agent:  1 ; Episode Return:  8.0 ; win rate(controlled & opponent):  0.34 0.54 ; Trained episode: 44
Episode:  119 controlled agent:  1 ; Episode Return:  -76.0 ; win rate(controlled & opponent):  0.34 0.54 ; Trained episode: 45
Episode:  120 controlled agent:  1 ; Episode Return:  18.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 45
Episode:  121 controlled agent:  1 ; Episode Return:  -270.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 46
Episode:  122 controlled agent:  1 ; Episode Return:  -317.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 46
Episode:  123 controlled agent:  1 ; Episode Return:  -75.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 46
Episode:  124 controlled agent:  1 ; Episode Return:  -111.0 ; win rate(controlled & opponent):  0.35 0.53 ; Trained episode: 46
Episode:  125 controlled agent:  1 ; Episode Return:  -192.0 ; win rate(controlled & opponent):  0.35 0.54 ; Trained episode: 47
Episode:  126 controlled agent:  1 ; Episode Return:  -89.0 ; win rate(controlled & opponent):  0.35 0.54 ; Trained episode: 47
Episode:  127 controlled agent:  1 ; Episode Return:  -71.0 ; win rate(controlled & opponent):  0.35 0.54 ; Trained episode: 47
Episode:  128 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.35 0.54 ; Trained episode: 47
Episode:  129 controlled agent:  1 ; Episode Return:  -296.0 ; win rate(controlled & opponent):  0.34 0.55 ; Trained episode: 47
Episode:  130 controlled agent:  1 ; Episode Return:  -166.0 ; win rate(controlled & opponent):  0.35 0.54 ; Trained episode: 47
Episode:  131 controlled agent:  1 ; Episode Return:  -4.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 48
Episode:  132 controlled agent:  1 ; Episode Return:  -9.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 49
Episode:  133 controlled agent:  1 ; Episode Return:  -94.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 50
Episode:  134 controlled agent:  1 ; Episode Return:  -72.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 50
Episode:  135 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 50
Episode:  136 controlled agent:  1 ; Episode Return:  -470.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 50
Episode:  137 controlled agent:  1 ; Episode Return:  -219.0 ; win rate(controlled & opponent):  0.37 0.52 ; Trained episode: 50
Episode:  138 controlled agent:  1 ; Episode Return:  -162.0 ; win rate(controlled & opponent):  0.36 0.53 ; Trained episode: 51
Episode:  139 controlled agent:  1 ; Episode Return:  -198.0 ; win rate(controlled & opponent):  0.37 0.52 ; Trained episode: 51
Episode:  140 controlled agent:  1 ; Episode Return:  -399.0 ; win rate(controlled & opponent):  0.37 0.53 ; Trained episode: 52
